X,Y,FID,F560,Location,Latitude,Longitude,Shelter,Bench
-8418838.64774527,5685768.15845711,189,8541,INDUSTRIAL / ST-LAURENT,45.406642,-75.627715,Y, 
-8419450.57154421,5685997.43864068,190,7137,831 INDUSTRIAL,45.408088,-75.633212, , 
-8419153.79355644,5685690.30704299,191,8548,INDUSTRIAL / ST-LAURENT,45.406151,-75.630546, , 
-8419376.65536006,5685861.0754725,192,8546,830 INDUSTRIAL,45.407228,-75.632548, , 
-8419628.46018595,5686116.36201331,193,7158,INDUSTRIAL / RUSSELL,45.408838,-75.63481, , 
-8419660.74285011,5686158.06478324,194,742,INDUSTRIAL / RUSSELL,45.409101,-75.6351, , 
-8419939.82096787,5686293.48159076,195,1188,INDUSTRIAL / RUSSELL,45.409955,-75.637607, , 
-8419937.14930137,5686280.32043968,196,1189,INDUSTRIAL / RUSSELL,45.409872,-75.637583, , 
-8420050.13864315,5686351.83510121,197,1714,695 INDUSTRIAL,45.410323,-75.638598, , 
-8420204.7615126,5686378.31653701,198,1715,700 INDUSTRIAL,45.41049,-75.639987, , 
-8421626.98059091,5686341.69049531,199,8629,NEIGHBOURHOOD / CORONATION,45.410259,-75.652763,Y, 
-8421703.79112016,5686214.20218984,200,1392,ROLLAND / NEIGHBOURHOOD WAY,45.409455,-75.653453,Y, 
-8421588.57533979,5686347.08173581,201,3641,CORONATION / NEIGHBOURHOOD,45.410293,-75.652418, ,Y
-8421292.01999466,5686412.41162231,202,8560,CORONATION / AD. 466,45.410705,-75.649754,Y, 
-8421303.70855778,5686391.16326735,203,8556,CORONATION / AD. 466,45.410571,-75.649859, , 
-8420848.52270352,5686399.090683,204,8559,CORONATION / CHOMLEY,45.410621,-75.64577,Y, 
-8420915.53710801,5686381.33102263,205,7144,CORONATION / CHOMLEY,45.410509,-75.646372, , 
-8420455.56452968,5686307.91248114,206,7145,CORONATION / WEYBURN,45.410046,-75.64224,Y, 
-8420457.23432998,5686280.79733692,207,7146,CORONATION / WEYBURN,45.409875,-75.642255, , 
-8420060.04612731,5686166.46970014,208,8558,CORONATION / BOTSFORD,45.409154,-75.638687,Y, 
-8420065.9460681,5686149.82031272,209,8557,CORONATION / BOTSFORD,45.409049,-75.63874, , 
-8419846.20125855,5686100.1889083,210,7147,CORONATION / RUSSELL,45.408736,-75.636766,Y,Y
-8419801.11684348,5686062.60904402,211,7150,CORONATION / RUSSELL,45.408499,-75.636361, , 
-8419705.93865012,5685913.0841949,212,7148,RUSSELL / SHELLEY,45.407556,-75.635506,Y, 
-8419703.60094818,5685874.55385982,213,7151,RUSSELL / SHELLEY,45.407313,-75.635485, , 
-8419588.38523938,5685698.07728191,214,7149,RUSSELL / THIRSK,45.4062,-75.63445, ,Y
-8419417.84371947,5685399.99363319,215,8354,RUSSELL / PERLEY HOSPITAL,45.40432,-75.632918,Y, 
-8419598.40400638,5685671.43967492,216,7163,RUSSELL / THIRSK,45.406032,-75.63454, , 
-8419454.13390212,5685432.81409357,217,7155,RUSSELL / PERLEY HOSPITAL,45.404527,-75.633244,Y, 
-8419334.24273336,5685248.89439529,218,8355,RUSSELL / HAIG,45.403367,-75.632167, , 
-8419313.20333094,5685238.74717957,219,7152,RUSSELL / HAIG,45.403303,-75.631978,Y, 
-8418982.80679417,5685057.8433532,220,7156,RUSSELL / CUBA,45.402162,-75.62901, , 
-8418942.95437579,5685061.64837461,221,7153,RUSSELL / CUBA,45.402186,-75.628652, , 
-8418694.93431909,5684990.4607936,222,7154,RUSSELL / AD. 1909,45.401737,-75.626424,Y, 
-8418706.51156327,5684966.36200028,223,7157,RUSSELL / AD. 1909,45.401585,-75.626528,Y, 
-8420910.75019973,5687096.19155848,224,3395,TERMINAL / TRAINYARDS,45.415017,-75.646329, , 
-8420805.21921073,5687123.62609083,225,3396,TERMINAL / TRAINYARDS,45.41519,-75.645381,Y, 
-8421246.82408683,5687058.29126229,226,3397,TERMINAL / WALMART ENT.,45.414778,-75.649348,Y, 
-8421205.30186913,5687084.93291972,227,3398,TERMINAL / WALMART ENT.,45.414946,-75.648975,Y, 
-8421902.05108698,5686984.39415313,228,1951,TERMINAL / SANDFORD FLEMING,45.414312,-75.655234, , 
-8422060.01355388,5686965.52351392,229,1802,TERMINAL / SANDFORD FLEMING,45.414193,-75.656653, , 
-8422062.57389855,5686988.517644,230,1801,TERMINAL / SANDFORD FLEMING,45.414338,-75.656676,Y, 
-8419906.4250155,5686651.85265875,231,7074,INDUSTRIAL GARAGE / BELFAST,45.412215,-75.637307,Y, 
-8419917.00037222,5686660.25713261,232,7073,INDUSTRIAL GARAGE / BELFAST,45.412268,-75.637402,Y, 
-8420041.01040933,5686479.32558917,233,1187,TRAINYARD MALL / ROAD TO BELFAST,45.411127,-75.638516, , 
-8420135.52069549,5686584.77640511,234,1186,TRAINYARD MALL / ROAD TO BELFAST,45.411792,-75.639365, , 
-8422319.27690043,5686673.42468708,235,1868,TERMINAL / RIVERSIDE,45.412351,-75.658982, , 
-8422397.31193073,5686666.60619638,236,1869,TRANSITWAY / TERMINAL,45.412308,-75.659683,Y, 
-8421951.14306725,5686758.89592859,237,8552,SANDFORD FLEMING / INDUSTRIAL,45.41289,-75.655675,Y, 
-8421979.41829605,5686502.48178657,238,8626,ALTA VISTA / ROLLAND,45.411273,-75.655929,Y,Y
-8422127.58467217,5686349.93745251,239,8544,ALTA VISTA / CALEDON,45.410311,-75.65726,Y,Y
-8422116.45272133,5686325.51782065,240,8209,ALTA VISTA / CALEDON,45.410157,-75.65716,Y,Y
-8422229.66476901,5686108.44032403,241,7164,ALTA VISTA / DALE,45.408788,-75.658177, ,Y
-8422233.33833381,5686025.66990077,242,7165,ALTA VISTA / DORION,45.408266,-75.65821,Y, 
-8422285.2132797,5685956.21956553,243,8219,ALTA VISTA / DORION,45.407828,-75.658676, ,Y
-8422457.98140545,5685508.92745307,244,7166,ALTA VISTA / CLUNY,45.405007,-75.660228, , 
