OSM_TYPE,OSM_ID,NAME,CATEGORY,CUISINE,BRAND,LATITUDE,LONGITUDE
node,9234126992,Bridgehead,cafe,coffee_shop,Bridgehead,45.3841077,-75.6968296
node,12337079268,Bridgehead,cafe,coffee_shop,Bridgehead,45.4036842,-75.7353549
way,635759371,Britannia Coffeehouse,cafe,,,45.3655596,-75.7960236
node,6762950663,Brûlerie Café Aladdin,cafe,,,45.4600552,-75.7410467
node,10316002488,Brûlerie Élixir,cafe,,,45.481965,-75.7212369
node,13341771890,BT Cravings,cafe,coffee_shop,,45.423518,-75.6835505
node,5809664414,Bubba & Bugs,cafe,,,45.0153859,-75.6448482
node,4416783989,Byward Cafe,cafe,,,45.4273792,-75.6920006
node,4924957943,Cacao 70,cafe,,,45.4002676,-75.6844355
node,6744461083,Cafe & Vin,cafe,,,45.3224791,-75.668207
node,5692990023,Café 501,cafe,,,45.4014291,-75.6481668
node,6720062665,Cafe 57,cafe,,,45.5759756,-75.4086533
way,484551727,Café Amore,cafe,,,45.4699246,-75.5286281
node,9072207289,Café Bistro Léo,cafe,,,45.6002198,-75.2436492
node,6405130216,Cafe Bon Vivant,cafe,,,45.2577105,-75.3577794
node,3690867976,Cafe British,cafe,breakfast;cake;coffee_shop,,45.394924,-75.846721
node,7773797287,Cafe British,cafe,,,45.3949212,-75.8467541
node,3690792157,Café Cloudforest Coffee,cafe,coffee_shop,,45.4270305,-75.7200903
node,9634708666,Cafe Cognac,cafe,,,45.4348626,-75.799626
node,4416302489,Cafe Cristal,cafe,,,45.2649291,-75.7772933
node,5838610364,Café Délice,cafe,,,45.4200999,-75.700618
node,808467735,Cafe Deluxe,cafe,,,45.4217095,-75.6959234
way,465012335,Café Des Artistes De La Lièvre,cafe,,,45.589152,-75.4167805
node,12062507376,Café des Tours,cafe,,,45.4298015,-75.6965095
way,765771480,Café Dough Co.,cafe,coffee_shop,,45.4329666,-75.7811985
way,275479192,Cafe El-Hara,cafe,,,45.3714621,-75.664249
way,604084514,Café Hiraeth,cafe,,,45.3427434,-75.668549
node,3690805390,Café In,cafe,,,45.4534793,-75.7395151
way,353283939,Café la Brûlerie,cafe,,,45.4277907,-75.73372
way,471898532,Cafe Latte Cino,cafe,,,45.4591097,-75.4872785
node,5941722846,Cafe le Monde,cafe,,,45.420347,-75.6998026
node,8830687717,Café Mulligan,cafe,,,45.3954422,-75.8412271
node,1669178975,Café Omni,cafe,,,45.4234375,-75.6854103
node,5799962624,Café Qui Pense,cafe,,,45.408174,-75.6777004
node,6719002794,Café Quick Pick,cafe,,,45.4270222,-75.7140926
way,161998606,Café Taché,cafe,pizza,,45.420209,-75.7519497
