OSM_TYPE,OSM_ID,NAME,TYPE,CUISINE,LATITUDE,LONGITUDE
way,460956127,Morning Owl,cafe,coffee_shop;sandwich,45.3996444,-75.7065686
node,4260939189,Morning Owl,cafe,,45.4019941,-75.7302475
node,5972540023,Morning Owl,cafe,,45.4198481,-75.6962521
node,6166247759,Morning Owl,cafe,,45.3149578,-75.9019938
node,6579180690,Morning Owl,cafe,,45.22643,-75.6857613
node,12138587230,Naturally Véro,cafe,,45.5043104,-75.790637
node,5799490554,Neat Coffee Shop,cafe,coffee_shop,45.3877954,-76.5785813
way,477497903,Nestle Toll House Cafe,cafe,,45.2986611,-75.9366092
node,12333955825,No Go Coffee Co.,cafe,,45.1436334,-75.6109231
node,6960981202,North Market,cafe,,45.2253016,-76.1952
way,258271694,Nutty Greek Bake Shop,cafe,greek,45.4010499,-75.7075666
node,5693066258,Oasis,cafe,,45.4010196,-75.6513933
node,5676165158,Oat Couture,cafe,breakfast,45.3929707,-75.6827566
node,5951999381,Oat Couture,cafe,,45.4070276,-75.7053407
node,3404786754,Opulence Coffee,cafe,coffee_shop,45.4305721,-75.6924136
node,11110237655,Ottawa Bike Cafe,cafe,,45.4231506,-75.6969957
node,5931574167,Ottawa Valley Coffee,cafe,coffee_shop,45.4331884,-76.3543085
node,6960963107,Ottawa Valley Coffee,cafe,,45.2255453,-76.1959439
node,9757011017,Palmier,cafe,,45.5075566,-75.8114372
way,305078217,Patterson Creek Bistro,cafe,,45.4080939,-75.6824923
node,9152789663,Patterson Creek Bistro,cafe,,45.4080968,-75.6824942
node,4343788836,Picolo Grande,cafe,ice_cream,45.4294771,-75.694458
node,765366980,Planet Coffee,cafe,coffee_shop,45.4271156,-75.6936392
way,578272895,PopulariTea,cafe,bubble_tea,45.3734666,-75.6640127
node,830720565,Preso tea,cafe,bubble_tea,45.3917342,-75.7543496
node,4350043119,Presotea,cafe,dessert;bubble_tea,45.419412,-75.6993198
node,5115858561,Presotea,cafe,bubble_tea,45.4270864,-75.6893101
node,5664722304,Presse Cafe,cafe,,45.4346594,-75.605354
node,5631157087,Presse Café,cafe,,45.4210513,-75.6999585
way,478217645,Prestotea,cafe,bubble_tea,45.2692575,-75.738771
