COURT_TYPE,SPORT_TYPE,NAME,PARK_NAME,ADDRESS,LATITUDE,LONGITUDE,FIELD_SIZE,LIGHTS,ACCESSIBLE,WARD
"Basketball Court","basketball","Basketball Key","Kings Grant Park","30 Queenston Drive / 36 Dr. Neelan Drive, Richmond","45.19980581779329","-75.8340813198374","Key Court / Clé de basketball","unknown","no/non",""
"Basketball Court","basketball","Basketball Key","Valin Park and South Fallingbrook Community Centre","998 Valin Street, Cumberland","45.47098613587489","-75.46243118646741","Half / Demi","unknown","yes/oui",""
"Basketball Court","basketball","Basketball Court","Dr. John Hopps Park","300 Den Haag Drive, Ottawa","45.44061950587655","-75.63258459325199","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Key","Parkland (Hydro Corridor)","5590 Campeau Drive, Kanata","45.32073670887194","-75.9032617575588","Half / Demi","unknown","no/non",""
"Basketball Court","basketball","Basketball Key","Boisdale Park","210 Émerillon Ridge, Cumberland","45.448255719062544","-75.46443976195053","Key Court / Clé de basketball","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Boothfield Park","660 Boothfield Street","45.288593279702916","-75.66507549735357","Small / Petit","unknown","no/non",""
"Basketball Court","basketball","Basketball Key","Anishà Park","4355 Kelly Farm Drive","45.31219282351736","-75.59648599837553","Key Court / Clé de basketball","unknown","yes/oui",""
"Basketball Court","basketball","Basketball Key","Black Raven Community Park","675 Dundonald Drive","45.24177511112902","-75.7412234579631","Small / Petit","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Don Boudria Park","655 Décoeur Drive","45.44423316221599","-75.49092039152397","Non standard (on ice rink)","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Bert Dowler Park","100 Highgarden Terrace","45.32355098393077","-75.58342020379065","Small / Petit","unknown","no/non",""
"Basketball Court","basketball","Basketball Key","Meynell Park","245 Meynell Road","45.1848052047015","-75.84742319096362","Key Court / Clé de basketball","unknown","yes/oui",""
"Basketball Court","basketball","Basketball Court","Britannia Park","2805 Carling Avenue","45.36047724349521","-75.79913326921054","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Cedarcroft Park","1200 Cedarcroft Crescent, Gloucester","45.42457970786949","-75.61332523817661","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Vanessa Gilles Park","1465 Ridgebrook Drive, Gloucester","45.42303043621329","-75.60464391657592","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Laroche Park","51 Stonehurst Avenue, Ottawa","45.40868889201277","-75.72915997392782","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Windsor Park Ottawa","1B Windsor Avenue, Ottawa","45.39417885614086","-75.67698438941329","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","St. Luke's Park","166 Frank Street, Ottawa","45.41523914162785","-75.68671822121829","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Pinecrest Recreation Complex and Park","2250 Torquay Avenue, Ottawa","45.34925236790634","-75.77484557636599","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Raven Park","1500 Larose Avenue, Ottawa","45.376818108607786","-75.74016591359992","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Ryan Farm Park","5 Parkglen Drive, Nepean","45.3474419253326","-75.75282265852357","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Rideauview Park","960 Eiffel Avenue, Ottawa","45.36741605799797","-75.70651182325776","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Ruth Wildgen Park","1099 Grenon Avenue, Ottawa","45.35058431537484","-75.79567702001951","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","North Vineyard Park","6018 Voyageur Drive, Gloucester","45.47405675919524","-75.54917631646386","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Luc Major Park","956 Bilberry Drive, Gloucester","45.48357608552084","-75.53344492847852","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Luc Major Park","956 Bilberry Drive, Gloucester","45.48357013811945","-75.53367075865272","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Stonegate Park","45 McIntosh Way, Kanata","45.302574171476095","-75.89787788726143","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Overbrook Park","33 Quill Street","45.42544780834794","-75.65647749898707","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Riverain Park","400 North River Road, Vanier","45.431388640234836","-75.66977913726664","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Joe Jamieson Park","6940 Bilberry Drive, Gloucester","45.481168309085724","-75.5238590779469","Small / Petit","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Pineglen Park","22 Brisbane Road, Nepean","45.325648505426805","-75.70853597013803","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Union St. Roundabout Basketball Court","Bordeleau Park","349 Bruyère Street, Ottawa","45.43732162254991","-75.69287723789284","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Bellevue Manor Park","1520 Caldwell Avenue, Ottawa","45.37225449940101","-75.73958293123505","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Key","Champlain Park","140 Carleton Avenue, Ottawa","45.40452003390714","-75.74543140570579","Half / Demi","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Whalen Park","4111 Kanata Avenue, Kanata","45.32264298121525","-75.92360798339813","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Key","Frank J. Licari Park","1990 Cochrane Street / 1274 Vancouver Avenue, Ottawa","45.36885090467991","-75.65752491843868","Key Court / Clé de basketball","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Alfred Taylor Recreation Facility - North Gower","2300 Community Way, Rideau","45.1305434215969","-75.71127219447598","Small / Petit","unknown","no/non",""
"Basketball Court","basketball","Basketball Key","Chapel Hill Park","1556 Forest Valley Drive, Gloucester","45.450572896519326","-75.53839704778909","Key Court / Clé de basketball","unknown","no/non",""
"Basketball Court","basketball","Basketball Key","Balena Park","1640 Devon Street, Ottawa","45.40539502220751","-75.64382157781854","Key Court / Clé de basketball","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Queenswood Heights Centennial Park and Community Centre","1485 Duford Drive, Cumberland","45.47093653832441","-75.50734666770408","Full / Entier","unknown","no/non",""
"Basketball Court","basketball","Basketball Key","Champagne Park","1861 Markwell Crescent, Gloucester","45.45472289663333","-75.51558744111638","Key Court / Clé de basketball","unknown","no/non",""
"Basketball Court","basketball","Basketball Key","Eastvale Park","740 Eastvale Drive, Gloucester","45.459100010656165","-75.59833249083192","Key Court / Clé de basketball","unknown","no/non",""
"Basketball Court","basketball","Basketball Court","Fallingbrook Park","681 Deancourt Crescent, Cumberland","45.481274384217215","-75.48820283148265","Small / Petit","unknown","no/non",""
"Basketball Court","basketball","Basketball Key","Barry Mullen Park","152 Grandview Road, Nepean","45.36104890651306","-75.8569410480114","Key Court / Clé de basketball","unknown","no/non",""
"Basketball Court","basketball","Basketball Key","Trèva Cousineau Park","1756 Grey Nuns Drive, Gloucester","45.46909487668976","-75.53640323521934","Key Court / Clé de basketball","unknown","no/non",""
